P;;;;;;
Immatriculation;Code;Date MC;Code;Désignation;Cpt. actuel;Nom
;CAL004RE11;01/01/2011;DOM;Biens remis aux Domaines;0,00;RENAULT PREMIUM LANDER
;VUE;28/08/2018;ATTAFFE;EN ATTENTE D'AFFECTATION;0,00;RENAULT Master L3H3 2.3 DCI 170CV
;CAI001TH23;01/02/2023;CEIBAIN;CEI Bain de Bretagne;0,00;Caisson Amovible 20M3
;CAI002TH23;01/02/2023;CEICHBO;CEI Châteaubourg;0,00;Caisson Amovible 20 M3
;CAI003TH23;01/02/2023;CEISEGU;CEI La Séguinière;0,00;Caisson Amovible 20 M3
;CAI004TH23;26/01/2023;CEIBAIN;CEI Bain de Bretagne;0,00;Caisson Amovible 27 M3 BACHE
;CAI005TH23;21/02/2023;CEIROST;CEI Rostrenen;0,00;Caisson Amovible 15 M3
;CAI006TH23;21/02/2023;DIS22;District Saint Brieuc;0,00;PLATEAU TRANSPORT ENGINS
;VUD01;23/11/2023;^^^^^^^;Înitialisation base;0,00;Fourgon grande gamme (master,transit, jumper, dail
;CAI007MA24;01/08/2024;ATTAFFE;EN ATTENTE D'AFFECTATION;0,00;PLATEAU TRANSPORT ENGINS MAHOT
;CAI008MA24;01/08/2024;DIS22;District Saint Brieuc;0,00;PLATEAU TRANSPORT ENGINS MAHOT
;CAI009MA24;01/08/2024;ATTAFFE;EN ATTENTE D'AFFECTATION;0,00;PLATEAU TRANSPORT ENGINS MAHOT
22R-2669A;VUA015RE03;07/08/2003;DOM;Biens remis aux Domaines;227790,00;RENAULT KANGOO 1.5  DCI
240 BDW 35;VLA024RE09;06/03/2009;DOM;Biens remis aux Domaines;251593,00;RENAULT KANGOO 5P. 1.5 DCI
267 BDW 35;CAB019RE09;06/03/2009;CEIPERR;CEI Le Perray;129849,00;RENAULT MIDLUM 190.13
35D-1757B;VUD068RE00;20/04/2000;DOM;Biens remis aux Domaines;0,00;RENAULT MASTER L2H2 2,5 DCI-119
35D-3369B;VUE088RE02;28/11/2002;DOM;Biens remis aux Domaines;0,00;RENAULT MASTER L2H2 2,5 DCI-120
35D-4202B;VUA013RE03;17/06/2003;DOM;Biens remis aux Domaines;0,00;RENAULT KANGOO EXPRESS 1.5 DCI
35N-6874B;VLA014RE07;24/07/2007;DOM;Biens remis aux Domaines;221972,00;RENAULT KANGOO 1.5 DCI 5P
35N-7216B;VUE051RE08;07/03/2008;DOM;Biens remis aux Domaines;37645,00;RENAULT MASTER L2H2 2,5 DCI-120
35N-7481B;VUE031RE08;09/07/2008;DOM;Biens remis aux Domaines;235500,00;RENAULT MASTER L3H2 2,5 DCI-121
44D-3588A;CAC071RE85;26/11/1985;DOM;Biens remis aux Domaines;0,00;RENAULT C210
44D-5388A;CAC074RE89;01/12/1989;DOM;Biens remis aux Domaines;0,00;RENAULT C210
489 BDY 35;VUE063RE09;13/03/2009;PSBREF;Réforme PS Brest;650339,00;RENAULT MASTER L2 H2 2,5 DCI 150
49D-2533A;CAB033MB94;01/12/1994;DOM;Biens remis aux Domaines;0,00;MECEDES-BENZ UNIMOG
639 BDX 35;CAA013IV09;11/03/2009;CEIVANN;CEI Vannes;161450,00;IVECO DAILY 65C18 BENNE AMO
87 BDS 35;VLC071RE09;25/02/2009;DOM;Biens remis aux Domaines;218407,00;RENAULT MODUS 1,5 DCI  70
89 BDS 35;VLC072RE09;25/02/2009;DOM;Biens remis aux Domaines;291137,00;RENAULT MODUS 1,5 DCI  70
90 BDS 35;VLC073RE09;25/02/2009;DOM;Biens remis aux Domaines;301317,00;RENAULT MODUS 1,5 DCI  70
AA-134-DL;VUE064RE09;24/04/2009;DOM;Biens remis aux Domaines;475000,00;RENAULT MASTER L3H2 2,5 DCI-120
AA-399-VS;VUE070RE09;26/05/2009;DOM;Biens remis aux Domaines;287830,00;RENAULT MASTER L3H2 2,5 DCI-150
AA-424-VS;VUE072RE09;26/05/2009;DOM;Biens remis aux Domaines;421122,00;RENAULT MASTER L3H2 2,5 DCI-150
AA-440-VS;VUE071RE09;26/05/2009;DOM;Biens remis aux Domaines;339483,00;RENAULT MASTER L3H2 2,5 DCI-150
AA-467-VS;VUE069RE09;26/05/2009;DOM;Biens remis aux Domaines;417097,00;RENAULT MASTER L3H2 2,5 DCI-150
AA-790-MG;CAD008RE09;11/05/2009;CEIVANN;CEI Vannes;143958,00;RENAULT PREMIUM 370/26 E4 BENNE AMO
AA-811-MG;VUE074RE09;11/05/2009;DOM;Biens remis aux Domaines;401711,00;RENAULT MASTER L3H2 2,5 DCI-150
AA-834-MG;VUE062RE09;11/05/2009;DOM;Biens remis aux Domaines;173301,00;RENAULT MASTER L3H2 2,5 DCI-119
AA-965-HG;VUE077RE09;30/04/2009;DOM;Biens remis aux Domaines;253900,00;RENAULT MASTER L3H2 2,5 DCI-150
AA-988-HG;VUE060RE09;30/04/2009;DOM;Biens remis aux Domaines;530525,00;RENAULT MASTER L3H2 2,5 DCI-120
AB-223-YK;VLA025RE09;15/07/2009;DOM;Biens remis aux Domaines;357814,00;RENAULT KANGOO 1.5 DCI 5P
AB-234-YK;VUE068RE09;15/07/2009;DOM;Biens remis aux Domaines;555000,00;RENAULT MASTER L3H2 2,5 DCI-120
AB-247-YK;VLC074RE09;15/07/2009;PSBPOOL;Pool Relais PS Brest;234779,00;RENAULT CLIO III 1,5 DCI
AB-257-YK;VLA027RE09;15/07/2009;DOM;Biens remis aux Domaines;277027,00;RENAULT KANGOO 1.5 DCI 5P
AB-267-YK;VLA026RE09;15/07/2009;PSSBPOO;Pool Relais PS St Brieuc;280842,00;RENAULT KANGOO 1.5 DCI 5P
AB-283-YK;VUC011RE09;15/07/2009;DOM;Biens remis aux Domaines;286350,00;RENAULT MASTER L2 BENNE DCI 150
AB-599-PL;VLA033RE09;26/06/2009;STLAVAL;Section Travaux Laval;200503,00;RENAULT Kangoo 2 BREACK 1,5 Dci
AB-907-ED;VLA034RE09;11/06/2009;TR3DS53;Transfert 3ds CD53;167260,00;RENAULT Kangoo 2 BREACK 1,5 Dci
AC-021-YA;VUA049RE09;18/09/2009;DOM;Biens remis aux Domaines;364489,00;RENAULT KANGOO 1.5  DCI
AC-033-YA;VUE058RE09;18/09/2009;DOM;Biens remis aux Domaines;430999,00;RENAULT MASTER L2H2 2,5 DCI-150
AC-042-YA;VUE073RE09;18/09/2009;DOM;Biens remis aux Domaines;418053,00;RENAULT MASTER L3H2 2,5 DCI-150
AC-068-YA;VUE076RE09;18/09/2009;DOM;Biens remis aux Domaines;566985,00;RENAULT. MASTER 2,5 DCI
AC-263-AX;VUE061RE09;21/07/2009;PSRREF;Réforme PS Rennes;492835,00;RENAULT MASTERL2H2 2,5 DCI 150 4PL
AC-275-AX;VUE067RE09;21/07/2009;PSBPOOL;Pool Relais PS Brest;666154,00;RENAULT MASTER L3H2 2,5 DCI 150
AC-295-AX;VUE065RE09;21/07/2009;PSBPOOL;Pool Relais PS Brest;550660,00;RENAULT MASTER L2H2 2,5 DCI 150
AC-303-AX;VUB019RE09;21/07/2009;PSRPOOL;Pool Relais PS Rennes;144357,00;RENAULT TRAFIC L2 H1
AC-323-AX;VUB017RE09;21/07/2009;DOM;Biens remis aux Domaines;293224,00;RENAULT TRAFIC L1 H1
AC-424-AX;VUB018RE09;21/07/2009;STRENN;Section Travaux Rennes;117314,00;RENAULT TRAFIC L2 H2
AC-442-AX;CAB020RE09;21/07/2009;CEISTAU;CEI Saint Aubin du Cormier;197897,00;RENAULT MIDLUM 160.10
AC-455-AX;CAC019RE09;21/07/2009;CEICHBO;CEI Châteaubourg;197652,00;RENAULT PREMIUM 320/19 Benne Amo
AC-578-DC;VUA050RE09;27/07/2009;DOM;Biens remis aux Domaines;348021,00;RENAULT KANGOO 1.5 DCI
AC-615-DC;VUE056RE09;27/07/2009;DOM;Biens remis aux Domaines;649980,00;RENAULT MASTER L2H2 2,5 DCI-120
AC-657-DC;VUE057RE09;27/07/2009;DOM;Biens remis aux Domaines;565838,00;RENAULT MASTER II L2H2 2,5 DCI-150
AC-671-DC;VUB021RE09;27/07/2009;DOM;Biens remis aux Domaines;346002,00;RENAULT TRAFIC L1H1 2,0 DCI-115
AC-690-DC;VUA048RE09;27/07/2009;DOM;Biens remis aux Domaines;303295,00;RENAULT KANGOO 1.5DCI
AC-708-DC;VUB020RE09;27/07/2009;DOM;Biens remis aux Domaines;416057,00;RENAULT TRAFIC L1 H1
AC-718-BW;VLA028RE09;23/07/2009;STRENN;Section Travaux Rennes;330673,00;KANGOO AUTH. 1.5DCI 5P.
AC-729-BW;VUE066RE09;23/07/2009;DOM;Biens remis aux Domaines;552508,00;RENAULT MASTER L3H2 2,5 DCI-150
AC-731-ZK;VLC077RE09;22/09/2009;SEM;Service Entretien Modernisatio;174800,00;RENAULT CLIO III 1,5 DCI
AC-748-BW;VUE059RE09;23/07/2009;PSSBPOO;Pool Relais PS St Brieuc;520142,00;RENAULT MASTER L2H2 2,5 DCI-150
AC-752-DC;VUE075RE09;27/07/2009;PSBPOOL;Pool Relais PS Brest;512580,00;RENAULT MASTER L2 H2 2,5 DCI 150 + FLU
AC-821-BW;VUC010RE09;23/07/2009;DOM;Biens remis aux Domaines;4742,00;RENAULT MASTER L2 BENNE DCI 150
AC-826-ZK;VLA029RE09;22/09/2009;DOM;Biens remis aux Domaines;264551,00;RENAULT KANGOO 1.5 DCI 5P
AC-862-BW;VUC009RE09;23/07/2009;PSSBREF;Réforme PS St Brieuc;233964,00;RENAULT MASTER L2 BENNE DCI 150
AC-869-ZK;VLC076RE09;22/09/2009;PSSBPOO;Pool Relais PS St Brieuc;181669,00;RENAULT CLIO III 1,5 DCI
AC-916-ZK;VLC075RE09;22/09/2009;DOM;Biens remis aux Domaines;251960,00;RENAULT CLIO III 1,5 DCI
AC-949-ZK;VLC078RE09;22/09/2009;PSRPOOL;Pool Relais PS Rennes;241300,00;RENAULT CLIO III 1,5 DCI
AD-298-VB;CAA014RE09;21/10/2009;PSNPOOL;Pool Relais PS Nantes;177541,00;RENAULT MAXITY 45
AD-464-FS;VLA031RE09;06/10/2009;DOM;Biens remis aux Domaines;298140,00;RENAULT KANGOO.1.5 DCI 5P
AD-487-FS;CAD009RE09;06/10/2009;CEISTAU;CEI Saint Aubin du Cormier;210556,00;RENAULT PREMIUM380/26 Benne Amo
AD-538-VB;CAC021RE09;21/10/2009;PSRREF;Réforme PS Rennes;155235,00;RENAULT PREMIUM 320/19 E4 BENNE AMO
AD-619-PP;VLA032RE09;19/10/2009;DOM;Biens remis aux Domaines;212550,00;RENAULT KANGOO 1.5 DCI 5P
AD-731-VB;CAC022RE09;21/10/2009;CEILORI;CEI Lorient;107279,00;RENAULT PREMIUM 310-19 BENNE AMO
AD-741-FX;VLC085RE09;19/10/2009;DOM;Biens remis aux Domaines;84000,00;RENAULT MODUS 1,5 DCI
AD-744-FX;VLA030RE09;06/10/2009;DOM;Biens remis aux Domaines;253520,00;RENAULT KANGOO.1.5 DCI 5P
AD-752-PP;VLC086RE09;19/10/2009;DOM;Biens remis aux Domaines;182486,00;RENAULT MODUS 1,5 DCI
AD-851-VB;CAC020RE09;21/10/2009;CEIPLOE;CEI Ploërmel;144970,00;RENAULT PREMIUM 310/19 E5 BENNE AMO
AD-876-PP;VLC087RE09;19/10/2009;PSVPOOL;Pool Relais PS Vannes;137335,00;RENAULT MODUS 1,5 DCI
AF-167-LH;VLC083RE09;18/11/2009;DOM;Biens remis aux Domaines;239323,00;RENAULT MODUS 1,5 DCI
AF-316-LH;VLC082RE09;18/11/2009;DOM;Biens remis aux Domaines;234000,00;RENAULT MODUS 1,5 DCI
AF-478-LH;VLC080RE09;18/11/2009;DOM;Biens remis aux Domaines;257405,00;RENAULT MODUS DCI 1,5
AF-779-LG;VLC081RE09;18/11/2009;DOM;Biens remis aux Domaines;226243,00;RENAULT MODUS 1,5 DCI
AF-969-LG;VLC079RE09;18/11/2009;DOM;Biens remis aux Domaines;205680,00;RENAULT MODUS 1,5 DCI
AG-296-KQ;VUD060RE09;02/12/2009;PSVREF;Réforme PS Vannes;243035,00;RENAULT MASTER
AH-014-GD;CAC038RE09;15/12/2009;CEIHERI;CEI Héric;138125,00;RENAULT PREMIUM 310
AH-215-GD;CAC039RE09;15/12/2009;PSBPOOL;Pool Relais PS Brest;118500,00;RENAULT PREMIUM 310
AH-324-GD;CAC037RE09;15/12/2009;CEIHERI;CEI Héric;126265,00;RENAULT PREMIUM 310
AH-356-GC;VUA051RE09;15/12/2009;DOM;Biens remis aux Domaines;213115,00;RENAULT KANGOO EXPRESS.1.5 DCI
AH-506-GC;CAD011RE09;15/12/2009;CEISEGU;CEI La Séguinière;96052,00;RENAULT PREMIUM 380/26
AH-620-GA;VUE054RE09;15/12/2009;DOM;Biens remis aux Domaines;176970,00;RENAULT MASTER L3 H2 2,5 DCI 150 6 PL
AH-628-GC;CAC035RE09;15/12/2009;CEINANT;CEI Nantes;70117,00;RENAULT PREMIUM 310
AH-650-GB;CAD010RE09;15/12/2009;CEIMAYE;CEI Mayenne;109540,00;RENAULT PREMIUM 380-26 Benne Amo Grue
AH-783-GC;CAC041RE09;15/12/2009;CEIBRES;CEI Brest;92475,00;RENAULT PREMIUM 310
AH-833-GC;CAC042RE09;15/12/2009;CEICHTL;CEI Châteaulin;138261,00;RENAULT PREMIUM 310
AH-852-LG;CAC040RE09;15/12/2009;CEIGOUL;CEI Goulaine;88803,00;RENAULT PREMIUM 310
AH-876-GC;CAC043RE09;15/12/2009;CEIMELG;CEI Melgven;132265,00;RENAULT PREMIUM 310
AH-902-LG;VUE055RE09;17/12/2009;PSSBREF;Réforme PS St Brieuc;452153,00;RENAULT MASTER L3 H2 2,5 DCI 150 6 PL
AH-936-GC;CAC036RE09;15/12/2009;CEINANT;CEI Nantes;71949,00;RENAULT PREMIUM 310
AJ-430-QM;CAD046RE10;12/01/2010;STRENN;Section Travaux Rennes;330998,00;RENAULT KERAX
AK-449-WA;VUE083RE10;01/02/2010;DOM;Biens remis aux Domaines;395110,00;RENAULT MASTER L3H2 2,5 DCI-150
AK-605-WA;CAD018RE10;01/02/2010;CEISAVE;CEI Savenay;105340,00;RENAULT PREMIUM
AK-655-WA;CAD020RE10;01/02/2010;CEIGOUL;CEI Goulaine;79357,00;RENAULT PREMIUM
AK-685-WA;VLC089RE10;01/02/2010;SEM;Service Entretien Modernisatio;207509,00;RENAULT CLIO 1,5 DCI
AK-722-WA;CAD019RE10;01/02/2010;CEISAVE;CEI Savenay;114738,00;RENAULT PREMIUM
AK-782-WA;VLC084RE10;01/02/2010;DOM;Biens remis aux Domaines;245076,00;RENAULT CLIO III 1,5 DCI
AK-845-WA;VUE082RE10;01/02/2010;PSLPOOL;Pool Relais PS Laval;339645,00;RENAULT MASTER L3H2 2,5 DCI-150
AK-883-WA;VUE081RE10;01/02/2010;DOM;Biens remis aux Domaines;338377,00;RENAULT MASTER L3H2 2,5 DCI-150
AK-916-WA;VUE080RE10;01/02/2010;DOM;Biens remis aux Domaines;364488,00;RENAULT MASTER L3H2  4 PL
AK-940-WA;VUE079RE10;01/02/2010;DOM;Biens remis aux Domaines;514000,00;RENAULT MASTER L3H2 2,5 DCI-150
AK-986-WA;VUA052RE10;01/02/2010;PSRPOOL;Pool Relais PS Rennes;219241,00;RENAULT KANGOO 1,5 DCI
AM-149-BX;CAD007RE08;06/03/2009;CEIBRES;CEI Brest;68393,00;RENAULT PREMIUM LANDER 320/26 GRUE
AN-287-LT;CAD021RE10;16/03/2010;TR3DS53;Transfert 3ds CD53;54120,00;PREMIUM 380-26 Benne
AQ-413-JZ;VUF004IV10;15/04/2010;STRENN;Section Travaux Rennes;129710,00;IVECO DAILY 65C
AQ-765-JY;VLD010RE10;15/04/2010;CMR;Centre Maintenance Régional;289415,00;RENAULT MEGANE
AV-015-DT;VLB010PE01;13/12/2001;DOM;Biens remis aux Domaines;148140,00;PEUGEAOT 106 D
AV-074-FA;VUD002PE95;03/03/1995;DOM;Biens remis aux Domaines;307935,00;PEUGEOT BOXER D
AV-114-FA;VUD007RE98;17/03/1998;PSBPOOL;Pool Relais PS Brest;184397,00;RENAULT MASTER L3H2 2,8 DCI
AV-146-FA;VUD010RE00;10/04/2000;PSBPOOL;Pool Relais PS Brest;306239,00;RENAULT MASTER L3H2  2,8 DTI
AV-179-SA;VUD016RE01;28/02/2001;DOM;Biens remis aux Domaines;403920,00;RENAULT MASTER L3H2 2,8 DCI
