num_ech;nom_ech
22N801201;Carmoran
22N801204;Bel Air
22N801207;La Ville Cario
22N801210;Yffiniac Nord
22N801213;Plerneuf
22N801216;Ploumagoar
22N801219;Porz An Park
22N817604;Pays de Plélan Nord
22N817605;Pays de Plélan Sud
22N901201;St Jouan de l'Isle
22N901201B;Kergoet
22N901202;Recouvrance
22N901203;Le Chalet
22N901204;Les Dineux
22N901205;Les Bois Orieux
22N901206;Les Vallées
22N901208;La croix de l'épine
22N901209;Le Bois de Boudan
22N901210;Carmoran
22N901211;La croix Nogués
22N901212;La Petite Chapelle
22N901213;La Corne de Cerf
22N901214;Le Petit Lamballe
22N901215;La Ville Es Lan
22N901216;Les Landes
22N901217;Ste Anne
22N901218;St René
22N901219;La Baie
22N901220;Le Perray
22N901221;Jules Verne
22N901222;Chaptal
22N901223;Corneille
22N901224;Rohannec'h
22N901225;La Prunelle
22N901226;Les rosaires
22N901227;Les Rampes
22N901228;Le Sépulcre
22N901229;Aéroport
22N901230;La Barricade
22N901231;La Braguette
22N901232;Kertedevant
22N901233;Kerbouillen
22N901234;Coat An Doc'h
22N901235;Lautremen
22N901236;Bellevue
22N901237;La Chesnaye
22N901238;ZI de Grâces
22N901239;Tolmine
22N901240;Kernilien
22N901241;Kerrouan
22N901242;Laluzon
22N901243;St Paul
22N901244;La Vieille Côte
22N901245;Porz An Park
22N901246;Beg Ar C'hra
22N901247;Bon Voyage
22N916401;La Gautraie
22N916402;Les Trois Moineaux
22N916403;La Racine
22N916404;Merdrignac
22N916407;Tertignon
22N916408;La lande aux chiens
22N916409;Le Billiac
22N916410;Les Parpareux
22N916411;La Bellière
22N916412;Le Chaffaud
22N916413;Launay Grésillon
22N916414;La ville Donio
22N916415;Bel Air
22N916416;Le Zelo
22N916417;Rosquelfen
22N916418;Ker Laurent
22N916419;RD790
22N916432;La Pie
22N917601;Plouer
22N917602;Grignardais
22N917603;St Samson sur Rance
22N917604;Dombriand
22N917605;Les Alleux
22N917606;La Bezardais
22N917607;Vildé
22N917608;Plélan Le petit
22N917609;Jugon
22N917610;Les Quatre Routes
29N801201;Saint-Servais
29N816501;Saint-Yvi
29N816504;Pont de Buis
29N901201;Les Quatre Chemins
29N901202;Kerdilés
29N901203;Langolvas
29N901204;Coat congar
29N901205;La Boissière
29N901206;Le Launay
29N901207;Keriven
29N901208;Penn Prad
29N901209;Mez Menes
29N901210;Kermat
29N901211;Le Vern
29N901212;La Croix des Maltotiers
29N901213;Prad Ledan
29N901214;Keriel
29N901215;St Eloi
29N901216;Croas ar Neizic
29N901217;Lanvian
29N901219;Prat pip
29N901220;Kervao
29N916401;Kergorvo
29N916402;Kerdiwal
29N916403;Botaval
29N916404;Pont Triffen
29N916405;Kroaz Lesneven
29N916405B;Magorwenn
29N916406;Ti Blêz
29N916407;Morvaned
29N916408;Kroaz an Dreverz
29N916409;Kroaz Ru
29N916501;Kerfleury
29N916502;Kergostiou
29N916503;Kervidanou
29N916504;Kerandréo
29N916505;Kerampaou
